eval,score,cl,cd
188,0.14032493586005457,-1.28804,0.015502
189,0.12969664864624242,-1.23515,0.014984
190,0.11386760305041943,-1.2283,0.015269
191,0.13462531201061667,-1.25408,0.015142
192,0.13002544908891522,-1.22739,0.014862
193,0.12646259643348035,-1.26151,0.01545
194,0.12715237081567665,-1.2359,0.015057
195,0.13360215317059154,-1.25851,0.015232
196,0.133122106697511,-1.25962,0.01526
197,0.13107237585128684,-1.24138,0.015042
198,0.1325950135334516,-1.30354,0.015918
199,0.12681142397981948,-1.22948,0.014971
200,0.13880071583567344,-1.38361,0.016943
201,0.12685600630186578,-1.23854,0.015103
202,0.13485073147011128,-1.25459,0.015144
203,0.13917147583031209,-1.2977,0.015672
204,0.13107579056749086,-1.23097,0.014889
205,0.1291233504376501,-1.34564,0.016621
206,0.13000365018166649,-1.22749,0.014864
207,0.12263456048351407,-1.20213,0.014671
208,0.13213208412172073,-1.25968,0.015285
209,0.1443929694213847,-1.30493,0.015651
210,0.13921855358150836,-1.29771,0.015671
211,0.1351058289973066,-1.25406,0.01513
212,0.14311017251933844,-1.28803,0.015434
213,0.13333848701765372,-1.261,0.015275
214,0.1445350676116155,-1.29475,0.015498
215,0.11029948001459822,-1.15948,0.014345
216,0.11319523922180141,-1.25673,0.015703
217,0.12736825888204484,-1.23265,0.015004
218,0.12594326595902494,-1.21,0.014706
219,0.13251380569041882,-1.25936,0.015271
220,0.13107353583018666,-1.24145,0.015043
221,0.1288313789276,-1.23283,0.014971
222,0.1373638156612852,-1.38572,0.017009
223,0.13464759230155732,-1.25684,0.015182
224,0.13948368252562704,-1.38236,0.016908
225,0.13444399348947644,-1.25977,0.01523
226,0.13611379786077982,-1.26853,0.015318
227,0.13590870054721027,-1.25403,0.01511
228,0.13965338261766502,-1.29741,0.015656
229,0.14359794442168528,-1.29871,0.015579
230,0.1264120154553896,-1.29526,0.015947
231,0.13370578571569824,-1.25344,0.015155
232,0.12806208154529253,-1.22427,0.014864
233,0.1402403443610355,-1.29709,0.015637
234,0.14462319339774632,-1.29476,0.015496
235,0.1438016643547042,-1.27774,0.015266
236,0.11745837129002568,-1.20825,0.014887
237,0.12777529190493842,-1.23775,0.015069
238,0.13952670422574964,-1.28835,0.015526
239,0.14264826644539663,-1.37304,0.016694
240,0.1403432983109344,-1.29481,0.015601
241,0.14118932977197374,-1.2988,0.015639
242,0.13534144757505273,-1.25377,0.01512
243,0.14081970024604762,-1.30445,0.015731
244,0.14437087547187744,-1.29475,0.015502
245,0.1445350676116155,-1.29475,0.015498
246,0.13914499352713428,-1.29044,0.015566
247,0.14216050851319229,-1.28911,0.015473
248,0.1493347093360795,-1.33845,0.016023
249,0.14541075540019044,-1.29416,0.015468
250,0.12881818125634115,-1.23628,0.015022
251,0.1273013931689978,-1.29585,0.015934
252,0.1446176450651765,-1.29761,0.015538
253,0.14435192138645025,-1.30493,0.015652
254,0.1368616798887874,-1.26412,0.015235
255,0.14264826644539663,-1.37304,0.016694
256,0.14382578321975226,-1.27778,0.015266
257,0.13342300242609517,-1.23956,0.014958
258,0.14371015646261687,-1.29345,0.015499
259,0.14290445096097393,-1.28517,0.015397
260,0.14634021838134925,-1.28903,0.01537
261,0.14535237290225533,-1.30373,0.01561
262,0.14412458726227062,-1.29475,0.015508
263,0.14491330924361423,-1.29422,0.015481
264,0.14325766531095352,-1.28773,0.015426
265,0.14451611352618832,-1.30493,0.015648
266,0.14297728893981032,-1.28815,0.015439
267,0.15031151250044605,-1.3383,0.015997
268,0.14400515291592952,-1.29462,0.015509
269,0.14368856563696664,-1.28967,0.015444
270,0.14537134872784785,-1.29709,0.015512
271,0.1444119235068121,-1.29475,0.015501
272,0.14677603969507746,-1.37478,0.016619
273,0.14279830124655213,-1.29575,0.015555
274,0.1453253439948906,-1.28299,0.015306
275,0.14576053329380112,-1.30359,0.015598
276,0.14429420506361046,-1.34745,0.016278
277,0.14521948932272732,-1.30385,0.015615
278,0.13517094154687648,-1.24525,0.014999
279,0.1435337045787789,-1.3741,0.016688
280,0.1410742837793032,-1.29575,0.015597
281,0.1434175902179592,-1.27261,0.0152
282,0.14067378359652882,-1.29706,0.015626
283,0.14466168078303565,-1.29319,0.015472
284,0.11503356818607047,-1.29123,0.016165
285,0.15293324648528206,-1.33727,0.015918
286,0.14649134329081914,-1.31372,0.015729
287,0.14891593366308598,-1.34715,0.016161
288,0.1495109609083417,-1.33847,0.016019
289,0.146906724437744,-1.35648,0.016347
290,0.14655017456219865,-1.3017,0.015551
291,0.1380726341896289,-1.28907,0.015572
292,0.14208866591198765,-1.29716,0.015593
293,0.1537128967170266,-1.3323,0.015826
294,0.14666670663624515,-1.35792,0.016374
295,0.12434145156936072,-1.20782,0.014713
296,0.14743226319987213,-1.32379,0.015854
297,0.14637640754900405,-1.29086,0.015396
298,0.1489201030650753,-1.34634,0.016149
299,0.15309743862502,-1.33727,0.015914
300,0.13261824882175366,-1.23523,0.014914
301,0.14335748871682452,-1.30437,0.015668
302,0.14643023709200054,-1.29517,0.015458
303,0.15366558914406658,-1.33263,0.015832
304,0.14738288723104143,-1.32718,0.015905
305,0.14564944862152152,-1.30361,0.015601
306,0.148408693681372,-1.33848,0.016046
307,0.14555665030954423,-1.29801,0.015521
308,0.14416179044766164,-1.38617,0.01685
309,0.1541544666749004,-1.33453,0.015848
310,0.12866217108933653,-1.32241,0.016291
311,0.14549419624036242,-1.32432,0.015909
312,0.13804651369923526,-1.2652,0.015222
313,0.15309140890875794,-1.33726,0.015914
314,0.1466672749805974,-1.37494,0.016624
315,0.15266189838340827,-1.33505,0.015892
316,0.15002609247061982,-1.31046,0.015595
317,0.15729467861766344,-1.35948,0.016138
318,0.14425303900779796,-1.29047,0.015442
319,0.1483009678248538,-1.35675,0.016317
320,0.15193067222319334,-1.33268,0.015875
321,0.1289903022568537,-1.35672,0.016787
322,0.14973733226513752,-1.34293,0.016079
323,0.15400881245739284,-1.33211,0.015816
324,0.15366775537068034,-1.3455,0.016021
325,0.14811572214360036,-1.32717,0.015887
326,0.14800138735638513,-1.32664,0.015882
327,0.15334864005231963,-1.34429,0.016011
328,0.14563505681108568,-1.33919,0.016124
329,0.15296826480395442,-1.33726,0.015917
330,0.13571525427299092,-1.3241,0.016144
331,0.15442609894895054,-1.34526,0.015999
332,0.15283909098288906,-1.33725,0.01592
333,0.1539575544341243,-1.33114,0.015803
334,0.1507330025542708,-1.31844,0.015695
335,0.15384230035985558,-1.33197,0.015818
336,0.15560675248732636,-1.34538,0.015972
337,0.1567387847426569,-1.35849,0.016137
338,0.14854119525798104,-1.31392,0.015682
339,0.13637184581056194,-1.3708,0.016814
340,0.15378718971702143,-1.34563,0.01602
341,0.1526558686671462,-1.33504,0.015892
342,0.15391739307599595,-1.32447,0.015706
343,0.14937227743431503,-1.33824,0.016019
344,0.1552442691762317,-1.34403,0.015961
345,0.15357483593776466,-1.35794,0.016206
346,0.15336434402281107,-1.33356,0.015853
347,0.1540148421736549,-1.33212,0.015816
348,0.1432313429589538,-1.38204,0.016812
349,0.1514601027928265,-1.3287,0.015828
350,0.1536115406493892,-1.33043,0.015801
351,0.14828763039255222,-1.29968,0.015479
352,0.15947834432148977,-1.35997,0.016092
353,0.16014654806817075,-1.37163,0.016247
354,0.15043730576558512,-1.31652,0.015674
355,0.1535769602340783,-1.32622,0.01574
356,0.15369993973761387,-1.33718,0.015898
357,0.15666701978206,-1.34142,0.015888
358,0.15629552994186113,-1.34625,0.015968
359,0.15430323901632326,-1.35377,0.016127
360,0.15654607451411784,-1.3596,0.016158
361,0.15361801913909556,-1.32799,0.015765
362,0.15850905850479147,-1.37579,0.016348
