eval,score,cl,cd
234,0.1322681282405434,-1.24311,0.014213
235,0.23611122852837985,-1.38526,0.012752
236,0.22246416540772795,-1.36083,0.012857
237,0.23054221493887062,-1.37094,0.012729
238,0.24313796336601318,-1.39335,0.01263
239,0.23800861771792442,-1.38678,0.012709
240,0.23577775933509976,-1.38674,0.012786
241,0.22966776795562927,-1.38155,0.01292
242,0.2361663786797285,-1.38651,0.012769
243,0.2387355152260041,-1.38594,0.012671
244,0.23836274841760324,-1.38581,0.012682
245,0.2384854102684214,-1.37889,0.012573
246,0.23526271031054496,-1.39811,0.012976
247,0.22816618312374465,-1.37572,0.012884
248,0.24093686925664148,-1.38393,0.012564
249,0.15375902843569772,-1.28286,0.014067
250,0.23700474219495654,-1.39663,0.012893
251,0.24641450161842043,-1.39989,0.012615
252,0.23234658811290737,-1.38295,0.012848
253,0.23952755451593755,-1.3982,0.012829
254,0.15703644942631068,-1.29482,0.014134
255,0.23267648171940658,-1.38166,0.012817
256,0.22905743918560345,-1.37909,0.012904
257,0.11384721891274896,-1.1974,0.014162
258,0.2389053502008528,-1.386,0.012666
259,0.22870286711682214,-1.37735,0.01289
260,0.24454709198963526,-1.39943,0.012673
261,0.23004940065479895,-1.39769,0.013151
262,0.14867222226406135,-1.28022,0.014204
263,0.23845395432274125,-1.38635,0.012687
264,0.23897716182245127,-1.38339,0.012624
265,0.20556114094239425,-1.33962,0.013124
266,0.23943613332349278,-1.38722,0.012666
267,0.23918743707189194,-1.37905,0.012551
268,0.23859706851789664,-1.38582,0.012674
269,0.2445169540260183,-1.3987,0.012663
270,0.2413962144478468,-1.39787,0.012759
271,0.24397408619625793,-1.39362,0.012605
272,0.23488711996493544,-1.3839,0.012774
273,0.22383569421370186,-1.38354,0.013153
274,0.13190217888025502,-1.24511,0.014256
275,0.24407767669449643,-1.39921,0.012686
276,0.24321550053545699,-1.39333,0.012627
277,0.24019230910196387,-1.39616,0.012775
278,0.08187161340464727,-1.17075,0.014871
279,0.23962281121642848,-1.39756,0.012816
280,0.23846871495870242,-1.38645,0.012688
281,0.23856899591667058,-1.39712,0.012846
282,0.24049715668126187,-1.39805,0.012793
283,0.24226904356304524,-1.39426,0.012674
284,0.23936435554136387,-1.38613,0.012652
