iter,cl,cd,score,max_camber,max_camber_loc,max_thickness,max_thickness_loc,converged
25,,,-1,0.06880173441891525,0.5316997875242843,0.16396198550195978,0.39953723601555047,False
26,,,-1,0.07115485031836939,0.5772097880709983,0.159518204581465,0.36259327141890685,False
27,-2.81803,0.025032,1.0204448918549955,0.031235479945364998,0.6668994945393886,0.15652527037947367,0.3978580266736258,True
28,-2.96955,0.026612,1.075312231810166,0.0559021868245487,0.5166409282458223,0.1618012220158592,0.3238896323231623,True
29,,,-1,0.055894167785130275,0.5148992054273128,0.16194974951109625,0.323419360334257,False
30,-2.99724,0.026257,1.0853391367953737,0.05813724922470963,0.6106383080448184,0.14944438888817524,0.34849857290093517,True
31,,,-1,0.05514218626662808,0.5168830745548547,0.1567984524672876,0.31986729142379083,False
32,,,-1,0.05590878923552886,0.5180751285857313,0.1616789172200769,0.3242768770121316,False
33,-3.01211,0.026576,1.0907237549654725,0.06071612095425391,0.612514947059882,0.15071261808547068,0.3429225925455215,True
34,,,-1,0.02888295596692961,0.6855107870320021,0.16161963566522894,0.38832893325431794,False
35,,,-1,0.029325664846746702,0.6692085778047352,0.15990032078968752,0.39290867755194614,False
36,,,-1,0.06770835147746485,0.5674472394300891,0.1384372802344792,0.2705856337933563,False
37,-2.75912,0.025718,0.9991128235025728,0.025056086756363,0.6616675615378618,0.14244214570196492,0.2913757072112916,True
38,,,-1,0.07924040498637555,0.6229256843285202,0.15295989072079386,0.3659652511494528,False
39,-2.97519,0.026669,1.077354548318529,0.05709955477533056,0.5098624889766997,0.16061842685458058,0.3343363545648691,True
40,,,-1,0.05727080389328325,0.5019430207479423,0.16448244857901184,0.3361449956749405,False
41,,,-1,0.02788708689927097,0.642411825614988,0.14297960367884396,0.3066614016325486,False
42,,,-1,0.042960701501574106,0.6996883841456322,0.14709235593177605,0.3914438433486848,False
43,,,-1,0.05387707453554845,0.6932867545299175,0.15946005069781588,0.38831649995837014,False
44,,,-1,0.050351757745012535,0.525435050911365,0.16461363067611245,0.3210396236011017,False
45,,,-1,0.06254932302427751,0.623363972107494,0.15375623396545737,0.34593168289214316,False
46,,,-1,0.022584512491634925,0.650366119612498,0.14526681372120642,0.3007040327779035,False
47,-2.97639,0.026665,1.0777890837458401,0.057345998252390354,0.509752394190747,0.16015187667208491,0.3345697569586392,True
48,,,-1,0.05324350116331977,0.5146233467064285,0.1665974098888226,0.32599340020400924,False
49,,,-1,0.06719958026568375,0.5886693897280926,0.17829652116607184,0.3302595464935407,False
50,,,-1,0.05968052848788284,0.6269449360691104,0.14082495977721826,0.3480403213330247,False
51,,,-1,0.0584181532528929,0.6081675155129462,0.1478998059513958,0.33458414062605113,False
52,-3.02577,0.025973,1.0956702165796992,0.06282010522727995,0.6966018318299243,0.13178293355754728,0.3896087536297846,True
53,,,-1,0.05978931105537383,0.6179685847948505,0.14523230664996556,0.3520918310162726,False
54,,,-1,0.053301349711289386,0.5170610197880294,0.16588876908298153,0.32661516356678866,False
55,-2.98457,0.026561,1.080751166908679,0.0609445218239712,0.5080961383662662,0.1610097104586289,0.3335656069974412,True
56,,,-1,0.07586790085281553,0.6795025583737367,0.15489045196047485,0.37301646745322786,False
57,,,-1,0.06099614688123467,0.6133090359958554,0.1504007509593378,0.3425586180182246,False
58,,,-1,0.06889330165009906,0.5700467027872133,0.14185955128799083,0.27923509497013643,False
59,,,-1,0.029710652476472234,0.6715321583891967,0.15953077768141358,0.3936920734427418,False
60,,,-1,0.028846848879117818,0.6719401549419998,0.15964126063994952,0.39374643829625944,False
61,,,-1,0.031285179547902914,0.6650439370787982,0.1563892306155649,0.3977318337961909,False
62,,,-1,0.07226619751517314,0.6438375695705199,0.17280681754421334,0.3664859068918213,False
63,,,-1,0.06354262141120726,0.5004013248670504,0.1585546765898994,0.33053925313630117,False
64,,,-1,0.02522601502293529,0.6602866174299921,0.1421077687295967,0.29104463105791095,False
